"Color","Category","Size","Currency","Value","Price","Vintage","Wine","Locale","Producer","Varietal"
"Red","Dry","750ml","USD","139.1812","0","2021","Viña Almaviva S.A. Almaviva","Chile, Maipo Valley, Puente Alto","Viña Almaviva S.A.","Red Bordeaux Blend"
"Red","Dry","750ml","USD","187.4949","0","2020","Viña Almaviva S.A. Almaviva","Chile, Maipo Valley, Puente Alto","Viña Almaviva S.A.","Red Bordeaux Blend"
"Red","Dry","750ml","USD","94.1448","0","2019","Anthem Winery Cabernet Sauvignon Estate Mt. Veeder","USA, California, Napa Valley, Mt. Veeder","Anthem Winery","Cabernet Sauvignon"
"Red","Dry","750ml","USD","111.441","0","2016","AR.PE.PE. Valtellina Superiore - Grumello Riserva Buon Consiglio","Italy, Lombardia, Valtellina, Valtellina Superiore - Grumello","AR.PE.PE.","Nebbiolo"
"Red","Dry","750ml","USD","107.03","0","2016","AR.PE.PE. Valtellina Superiore - Grumello Riserva Sant'Antonio","Italy, Lombardia, Valtellina, Valtellina Superiore - Grumello","AR.PE.PE.","Nebbiolo"
"White","Dry","750ml","USD","143.7949","0","2022","Aubert Chardonnay CIX Estate Vineyard","USA, California, Sonoma County, Sonoma Coast","Aubert","Chardonnay"
"White","Sparkling","750ml","USD","159.6337","0","2009","Paul Bara Champagne Grand Cru Annonciade","France, Champagne, Champagne Grand Cru","Paul Bara","Pinot Noir"
"Rosé","Sparkling","750ml","USD","110.4859","0","2018","Paul Bara Champagne Grand Cru Spécial Club Rosé","France, Champagne, Champagne Grand Cru","Paul Bara","Champagne Blend"
"Red","Dry","750ml","USD","106.5829","0","2023","Beaux Frères Pinot Noir The Beaux Frères Vineyard","USA, Oregon, Willamette Valley, Ribbon Ridge","Beaux Frères","Pinot Noir"
"Red","Dry","750ml","USD","172.5523","0","2022","Bouchard Père et Fils Beaune 1er Cru Grèves Vigne de L'Enfant Jesus","France, Burgundy, Côte de Beaune, Beaune 1er Cru","Bouchard Père et Fils","Pinot Noir"
"White","Dry","750ml","USD","59.8884","0","2023","Gérard Boulay Sancerre Monts Damnés","France, Loire Valley, Upper Loire, Sancerre","Gérard Boulay","Sauvignon Blanc"
"White","Dry","750ml","USD","73.0026","0","2020","Albert Boxler Pinot Gris Brand","France, Alsace, Alsace Grand Cru","Albert Boxler","Pinot Gris"
"White","Dry","750ml","USD","163.9015","0","2020","Francois Carillon Puligny-Montrachet 1er Cru Les Combettes","France, Burgundy, Côte de Beaune, Puligny-Montrachet 1er Cru","Francois Carillon","Chardonnay"
"White","Dry","750ml","USD","50.2898","0","2022","Domaine de Cassiopée Bourgogne-Aligoté En Gerlieus","France, Burgundy, Bourgogne-Aligoté","Domaine de Cassiopée","Aligoté"
"Red","Dry","750ml","USD","79.4019","0","2020","Ceritas Pinot Noir Hellenthal Vineyard Old Shop Block","USA, California, Sonoma County, Sonoma Coast","Ceritas","Pinot Noir"
"Red","Dry","750ml","USD","82.3753","0","2020","Ceritas Pinot Noir Trout Gulch","USA, California, Santa Cruz Mountains","Ceritas","Pinot Noir"
"White","Dry","750ml","USD","131.7326","130","2022","Domaine Chavy-Chouet Puligny-Montrachet 1er Cru Les Folatières","France, Burgundy, Côte de Beaune, Puligny-Montrachet 1er Cru","Domaine Chavy-Chouet","Chardonnay"
"Red","Dry","750ml","USD","119.7726","0","2018","Domaine Robert Chevillon Nuits-Saint-Georges 1er Cru Les Chaignots","France, Burgundy, Côte de Nuits, Nuits-Saint-Georges 1er Cru","Domaine Robert Chevillon","Pinot Noir"
"Red","Dry","750ml","USD","79.2136","0","2021","Domaine Robert Chevillon Nuits-Saint-Georges Vieilles Vignes","France, Burgundy, Côte de Nuits, Nuits-Saint-Georges","Domaine Robert Chevillon","Pinot Noir"
"White","Sparkling","750ml","USD","171.7963","0","2004","Gaston Chiquet Champagne Premier Cru Special Club Reserve","France, Champagne, Champagne Premier Cru","Gaston Chiquet","Champagne Blend"
